Magasin;Item Code;Item Name;Disponible;UoM;CodeBars;InActif;Poids;Price;Value;U_u_forcast;U_Qte_Palette;U_u_cat;U_u_brand
MAG_FMCG;NET0001;Eau de Javel 2L;480;BID;6111000000011;N;2;9,50;4560,00;520;60;Nettoyant;La Croix
MAG_FMCG;NET0002;Détergent sol 5L;220;BID;6111000000028;N;5;28,00;6160,00;260;48;Nettoyant;Ajax
MAG_FMCG;NET0003;Nettoyant vitres 750ml;900;SPRAY;6111000000035;N;0,8;12,00;10800,00;700;96;Nettoyant;Ajax
MAG_FMCG;NET0004;Liquide vaisselle 1L;640;BID;6111000000042;N;1;15,00;9600,00;600;72;Nettoyant;Palmolive
MAG_FMCG;NET0005;Désinfectant multi-surfaces 5L;150;BID;6111000000059;N;5;34,00;5100,00;180;48;Nettoyant;Sanytol
MAG_DOT;CAR0001;Carton simple cannelure 40x30x30;1200;PIECE;6111000000066;N;0,3;3,20;3840,00;1000;200;Carton;Smurfit
MAG_DOT;CAR0002;Carton double cannelure 60x40x40;700;PIECE;6111000000073;N;0,6;5,80;4060,00;650;150;Carton;Smurfit
MAG_DOT;CAR0003;Boîte carton A4 archive;450;PIECE;6111000000080;N;0,4;6,50;2925,00;400;180;Carton;DS Smith
MAG_DOT;CAR0004;Carton déménagement 55L;300;PIECE;6111000000097;N;0,5;7,90;2370,00;320;160;Carton;DS Smith
MAG_BLOC;SAC0001;Sac poubelle 100L x10;1500;ROULEAU;6111000000103;N;0,5;18,00;27000,00;1300;120;Sac;Handy Bag
MAG_BLOC;SAC0002;Sac plastique bretelles 30x50 x100;2000;PAQUET;6111000000110;N;0,4;9,00;18000,00;1800;250;Sac;Barbier
MAG_BLOC;SAC0003;Sac kraft 18L x25;800;PAQUET;6111000000127;N;0,3;14,00;11200,00;750;140;Sac;Papeco
MAG_BLOC;SAC0004;Sac congélation 3L x50;1100;BOITE;6111000000134;N;0,2;6,00;6600,00;950;300;Sac;Alfapac
MAG_BLOC;SAC0005;Sac sous vide 25x35 x50;60;BOITE;6111000000141;Y;0,3;22,00;1320,00;80;100;Sac;Alfapac
